utterance,paraphrase,list_of_slots,error_category,,
book spot for  eight  at a  bar  that serves  pastelaria,Book spots for eight in a bar serving pastelaria,"['eight || party_size_number', 'bar || restaurant_type', 'pastelaria || cuisine']",correct,,
Book a reservation for  seven  people at a  bakery  in  Osage City,Keep a booking for 7 people at an Osage City bakery,,"['seven || party_size_number', 'bakery || restaurant_type', 'Osage City || city']",PRISM,BookRestaurant
Book a reservation for  seven  people at a  bakery  in  Osage City,Keep a booking for 7 people at an Osage City bakery:,"['seven || party_size_number', 'bakery || restaurant_type', 'Osage City || city']",punctuation,BookRestaurant,
Book a reservation for  seven  people at a  bakery  in  Osage City,Keep a booking for 7 people at an Osage City bakery.,"['seven || party_size_number', 'bakery || restaurant_type', 'Osage City || city']",correct,,
Book a reservation for  seven  people at a  bakery  in  Osage City,Keep a booking for 7 people at an Osage City bakery,"['seven || party_size_number', 'bakery || restaurant_type', 'Osage City || city']",correct,,
Book a reservation for  seven  people at a  bakery  in  Osage City,"Keep a booking for seven people in a bakery, Osage City","['seven || party_size_number', 'bakery || restaurant_type', 'Osage City || city']",correct,,
Book me a reservation for  twenty two   faraway  from  our place,Keep me reserved for twenty-two far away from us,"['twenty two || timeRange', 'faraway || spatial_relation', 'our place || poi']",correct,,
Book me a reservation for  twenty two   faraway  from  our place,Keep me reserved for twenty-two far away from our places,"['twenty two || timeRange', 'faraway || spatial_relation', 'our place || poi']",correct,,
Book me a reservation for  twenty two   faraway  from  our place,Keep me booked for twenty-two far away from our place,"['twenty two || timeRange', 'faraway || spatial_relation', 'our place || poi']",correct,,
Book me a reservation for  twenty two   faraway  from  our place,Keep me reserved for twenty-two far away from my place,"['twenty two || timeRange', 'faraway || spatial_relation', 'our place || poi']",correct,,
Book me a reservation for  twenty two   faraway  from  our place,Keep me reserved for twenty-two far away from our place,"['twenty two || timeRange', 'faraway || spatial_relation', 'our place || poi']",correct,,
I want to find a nice  coffeehouse  in  South Burlington   Illinois,I wants to get a nice café in South Burlington Illinois,"['coffeehouse || restaurant_type', 'South Burlington || city', 'Illinois || state']",grammar,,
I want to find a nice  coffeehouse  in  South Burlington   Illinois,I wants to get a nice coffee house in South Burlington Illinois,"['coffeehouse || restaurant_type', 'South Burlington || city', 'Illinois || state']",grammar,,
I want to find a nice  coffeehouse  in  South Burlington   Illinois,I wants to find some nice coffeehouse in South Burlington Illinois,"['coffeehouse || restaurant_type', 'South Burlington || city', 'Illinois || state']",grammar,,
I want to find a nice  coffeehouse  in  South Burlington   Illinois,I wants to get a nice cafe in South Burlington Illinois,"['coffeehouse || restaurant_type', 'South Burlington || city', 'Illinois || state']",grammar,,
I want to find a nice  coffeehouse  in  South Burlington   Illinois,I wants to get a nice coffeehouse in South Burlington Illinois,"['coffeehouse || restaurant_type', 'South Burlington || city', 'Illinois || state']",grammar,,
Book a reservation for a party of  6  at  The Waterside Inn,Book a reserve for a 6 party at The Waterloo Inn,"['6 || party_size_number', 'The Waterside Inn || restaurant_name']","spelling, homonym",,
Book a reservation for a party of  6  at  The Waterside Inn,Book a reserve for a 6 party at The Waterloo Inn.,"['6 || party_size_number', 'The Waterside Inn || restaurant_name']","spelling, homonym",,
Book a reservation for a party of  6  at  The Waterside Inn,Booking a reservation to a 6 party at The Waterside Inn,"['6 || party_size_number', 'The Waterside Inn || restaurant_name']",correct,,
Book a reservation for a party of  6  at  The Waterside Inn,Book a reserve for a 6 party at The Waterside Inn,"['6 || party_size_number', 'The Waterside Inn || restaurant_name']",spelling,,
Book a reservation for a party of  6  at  The Waterside Inn,Book a reserve for a 6 party at The Waterside Inn.,"['6 || party_size_number', 'The Waterside Inn || restaurant_name']",spelling,,
Book a table for  11/5/2037  in  Washington  for  seven  people,"Buy a table for May 11, 2037 in Washington","['11/5/2037 || timeRange', 'Washington || state', 'seven || party_size_number']","semantic, slot omission",,
Book a table for  11/5/2037  in  Washington  for  seven  people,"Buy a table for May 11, 2037 in Washington to seven people","['11/5/2037 || timeRange', 'Washington || state', 'seven || party_size_number']","semantic, grammar",,
Book a table for  11/5/2037  in  Washington  for  seven  people,"Keep a board for 11/5/2037 in Washington, D.C. for seven people","['11/5/2037 || timeRange', 'Washington || state', 'seven || party_size_number']",correct,,
Book a table for  11/5/2037  in  Washington  for  seven  people,"Buy a table for May 11, 2037 in Washington D.C. for seven people","['11/5/2037 || timeRange', 'Washington || state', 'seven || party_size_number']",semantic,,
Book a table for  11/5/2037  in  Washington  for  seven  people,"Buy a table for May 11, 2037 in Washington, D.C. for seven people","['11/5/2037 || timeRange', 'Washington || state', 'seven || party_size_number']",semantic,,
I want to book a  restaurant  at  sunrise  for  4  people.,I would like to book one restaurant at dawn for four people.,"['restaurant || restaurant_type', 'sunrise || timeRange', '4 || party_size_number']",correct,,
I want to book a  restaurant  at  sunrise  for  4  people.,I would like to book a diner at sunrise for 4-persons.,"['restaurant || restaurant_type', 'sunrise || timeRange', '4 || party_size_number']",spelling,,
I want to book a  restaurant  at  sunrise  for  4  people.,I would like to book a diner at sunrise for 4 people.,"['restaurant || restaurant_type', 'sunrise || timeRange', '4 || party_size_number']",correct,,
I want to book a  restaurant  at  sunrise  for  4  people.,I would like to book one restaurant at sunrise for four people.,"['restaurant || restaurant_type', 'sunrise || timeRange', '4 || party_size_number']",correct,,
I want to book a  restaurant  at  sunrise  for  4  people.,I would like to book a diner at sunrise for four people.,"['restaurant || restaurant_type', 'sunrise || timeRange', '4 || party_size_number']",correct,,
I want to book a  varenyky   restaurant  in  Croatia .,I wants to book one varenyky restaurant in Croatia.,"['varenyky || cuisine', 'restaurant || restaurant_type', 'Croatia || country']",grammar,,
I want to book a  varenyky   restaurant  in  Croatia .,I wants to book the varenyky restaurant in Croatia.,"['varenyky || cuisine', 'restaurant || restaurant_type', 'Croatia || country']",grammar,,
I want to book a  varenyky   restaurant  in  Croatia .,I want to reserve a varenyky restaurant in Croacia .,"['varenyky || cuisine', 'restaurant || restaurant_type', 'Croatia || country']","homonym, wrong slot",,
I want to book a  varenyky   restaurant  in  Croatia .,I want to reserve a varenyky restaurant in Croatian .,"['varenyky || cuisine', 'restaurant || restaurant_type', 'Croatia || country']","homonym, wrong slot",,
I want to book a  varenyky   restaurant  in  Croatia .,I wants to book one varenyky restaurant in Croatian .,"['varenyky || cuisine', 'restaurant || restaurant_type', 'Croatia || country']","grammar, homonym, wrong slot",,
What is the weather forecast  here,What the weather forecast is here,['here || current_location'],correct,,
What is the weather forecast  here,What is the weather forecast here,['here || current_location'],duplication,,
What is the weather forecast  here,What is the weather forecast here?,['here || current_location'],duplication,,
What is the weather forecast  here,What’s the weather forecast here,['here || current_location'],correct,,
What is the weather forecast  here,What's the weather forecast here,['here || current_location'],correct,,
Is it  chilly  in  Haiti,Is it cool in Haiti?,"['chilly || condition_temperature', 'Haiti || country']",correct,,
Is it  chilly  in  Haiti,Is it cold in Haiti.,"['chilly || condition_temperature', 'Haiti || country']",correct,,
Is it  chilly  in  Haiti,Is it cold in Haiti ?,"['chilly || condition_temperature', 'Haiti || country']",correct,,
Is it  chilly  in  Haiti,Is it cold in Haiti,"['chilly || condition_temperature', 'Haiti || country']",correct,,
Is it  chilly  in  Haiti,Is it cold in Haiti?,"['chilly || condition_temperature', 'Haiti || country']",correct,,
what is the forecast for  Tennessee,What is the forecast for Tennessee,['Tennessee || state'],duplication,,
what is the forecast for  Tennessee,what is the forecast for Tennessee,['Tennessee || state'],duplication,,
what is the forecast for  Tennessee,what the forecast is for Tennessee,['Tennessee || state'],correct,,
what is the forecast for  Tennessee,Which is the forecast for Tennessee,['Tennessee || state'],correct,,
what is the forecast for  Tennessee,what is the prediction for Tennessee,['Tennessee || state'],correct,,
Is it  chillier   here,Is it cooler here,"['chillier || condition_temperature', 'here || current_location']",correct,,
Is it  chillier   here,Is it cooler here?,"['chillier || condition_temperature', 'here || current_location']",correct,,
Is it  chillier   here,Is it cooler here ?,"['chillier || condition_temperature', 'here || current_location']",correct,,
Is it  chillier   here,Is it Colder Here?,"['chillier || condition_temperature', 'here || current_location']",spelling,,
Is it  chillier   here,Is it colder here?,"['chillier || condition_temperature', 'here || current_location']",correct,,
Weather at  Norfolk Island,Weather from Norfolk Island,['Norfolk Island || country'],correct,,
Weather at  Norfolk Island,Weather of Norfolk Island,['Norfolk Island || country'],correct,,
Weather at  Norfolk Island,Weather on Norfolk Island,['Norfolk Island || country'],correct,,
Weather at  Norfolk Island,Weather On Norfolk Island,['Norfolk Island || country'],spelling,,
Weather at  Norfolk Island,Weather in Norfolk Island,['Norfolk Island || country'],correct,,
Weather in  Malaysia,Weather in Indonesia,['Malaysia || country'],correct,,
Weather in  Malaysia,Weather in Malawi,['Malaysia || country'],correct,,
Weather in  Malaysia,Weather for Malaysia,['Malaysia || country'],correct,,
Weather in  Malaysia,Weather in Malesia,['Malaysia || country'],homonym,,
Weather in  Malaysia,Weather in Malaysia,['Malaysia || country'],duplication,,
forecast for  Guatemala,forecast for Guatemala,['Guatemala || country'],duplication,,
forecast for  Guatemala,Forecast for Guatemala,['Guatemala || country'],duplication,,
forecast for  Guatemala,Prospect for Guatemala,['Guatemala || country'],correct,,
forecast for  Guatemala,Projection for Guatemala,['Guatemala || country'],"semantic, spelling",,
forecast for  Guatemala,Outlook for Guatemala,['Guatemala || country'],correct,,
forecast for  Conrad,for Conrad,['Conrad || city'],semantic,,
forecast for  Conrad,forecast for Conrad,['Conrad || city'],duplication,,
forecast for  Conrad,Forecast for Conrad,['Conrad || city'],duplication,,
forecast for  Conrad,Projection for Conrad,['Conrad || city'],"semantic, spelling",,
forecast for  Conrad,Forecast for Konrad,['Conrad || city'],homonym,,
Tell me the weather forecast for  Finland,Tell me weather forecast for Finland.,['Finland || country'],grammar,,
Tell me the weather forecast for  Finland,Tell me weather forecasts for Finland,['Finland || country'],grammar,,
Tell me the weather forecast for  Finland,Tell me weather forecast for Finland,['Finland || country'],grammar,,
